gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,shar_o,amb_o,fun_o,intel_o,like_o,prob_o,met_o,age,field_cd,race,imprace,career_c,income,dec_o
0,1,27,2,35,20,20,20,0,5,6,7,5,7,7,8,6,3,1,23,1,2,1,1,37754,0
0,1,22,2,60,0,0,40,0,0,6,5,5,6,6,10,6,3,0,23,1,2,1,1,37754,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,0,23,1,2,1,1,37754,1
0,1,23,2,30,5,15,40,5,5,7,7,9,9,9,7,8,10,0,23,1,2,1,1,37754,1
0,0,24,3,30,10,20,10,10,20,8,8,9,8,8,9,9,7,1,23,1,2,1,1,37754,1
0,1,25,2,50,0,30,10,0,10,6,6,7,8,7,7,6,6,1,23,1,2,1,1,37754,1
0,1,30,2,35,15,25,10,5,10,7,6,5,6,5,3,6,4,1,23,1,2,1,1,37754,1
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,6,8,7,7,1,23,1,2,1,1,37754,0
0,1,28,2,50,0,25,10,0,15,7,7,10,9,10,7,8,8,1,23,1,2,1,1,37754,1
0,1,24,2,100,0,0,0,0,0,7,8,7,8,7,8,7,7,1,23,1,2,1,1,37754,0
0,1,27,2,35,20,20,20,0,5,6,8,6,7,8,8,6,5,1,21,1,2,8,1,86340,0
0,1,22,2,60,0,0,40,0,0,6,7,5,6,7,10,7,4,0,21,1,2,8,1,86340,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,0,21,1,2,8,1,86340,1
0,1,23,2,30,5,15,40,5,5,6,8,10,10,8,6,7,7,0,21,1,2,8,1,86340,1
0,0,24,3,30,10,20,10,10,20,5,9,5,9,7,9,5,7,1,21,1,2,8,1,86340,0
0,1,25,2,50,0,30,10,0,10,5,8,7,7,7,7,6,7,1,21,1,2,8,1,86340,0
0,1,30,2,35,15,25,10,5,10,2,3,3,5,4,4,3,3,1,21,1,2,8,1,86340,0
